FID,alue_id,liikennemerkki_idt,liikennemerkkityypit,liikennemerkkien_nimet,liikennemerkkien_tekstit,pyspaikkojen_lukumaara_arvio,pysakointisuunta,pyspaikan_vaatima_noin_pituus,aluepysakointitunnus,lisatieto,keskilinjan_noin_pituus,ylre_katualue_nro,ylre_viheralue_nro,ylre_osa_nro,datanomistaja,paivitetty_tietopalveluun,geom
liikennemerkkipilotti_pysakointipaikat.3508,3508,"6838, 6836, 6830, 6847","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, unreadable, no_text, no_text",2,Pitkittäin,5.4,E,,12.08,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673221.13100503 25497165.7010586, 6673221.21141508 25497167.8102731, 6673233.33752548 25497167.0067357, 6673233.19239953 25497165.0524882, 6673221.13100503 25497165.7010586))"
liikennemerkkipilotti_pysakointipaikat.3058,3058,"7529, 7594, 7595","372, 856a, Unclassified","Pysäköinti kielletty, Pysäköintikiekon käyttövelvollisuus, Luokittelematon","no_text, 4h 8-20, no_text",,,,N,,52.26,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672327.54010876 25492169.0630334, 6672342.34127233 25492166.2033391, 6672355.33613059 25492163.6864005, 6672368.74387053 25492161.1705074, 6672379.20745328 25492159.2607372, 6672378.81213484 25492156.7560354, 6672327.05630141 25492166.8478591, 6672327.54010876 25492169.0630334))"
liikennemerkkipilotti_pysakointipaikat.3669,3669,"18595, 18597, 18598, 18562","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21, no_text, no_text",5,Pitkittäin,5.4,C,,34.3,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672308.46722901 25497223.1637072, 6672327.75014839 25497222.1754558, 6672327.72971871 25497220.1697537, 6672308.44482024 25497220.7541446, 6672308.46722901 25497223.1637072)), ((6672334.54456495 25497221.8272413, 6672349.88197789 25497221.0411975, 6672349.82699822 25497218.7087766, 6672334.52326249 25497219.8775583, 6672334.54456495 25497221.8272413)))"
liikennemerkkipilotti_pysakointipaikat.2942,2942,"18658, 18698, 18696, 18692","152, 372, 855a, Unclassified","N/A, Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, no_text, 9-21, no_text",,,,D,,125.11,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672694.30435029 25498170.2873938, 6672692.59064178 25498170.2873938, 6672694.78212123 25498237.0604225, 6672697.07889406 25498236.9899564, 6672694.30435029 25498170.2873938)), ((6672694.12778408 25498166.042685, 6672692.13462176 25498118.1280561, 6672690.23480136 25498118.2457111, 6672692.4810678 25498166.042685, 6672694.12778408 25498166.042685)), ((6672691.96136529 25498113.961279, 6672691.54073915 25498103.849291, 6672689.65040684 25498103.8915206, 6672690.05217807 25498113.961279, 6672691.96136529 25498113.961279)))"
liikennemerkkipilotti_pysakointipaikat.2876,2876,"17775, 17747, 17776","372, 856a, Unclassified","Pysäköinti kielletty, Pysäköintikiekon käyttövelvollisuus, Luokittelematon","no_text, 4h 8-20, no_text",,,,N,,99.03,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672240.49655175 25493855.4739099, 6672224.34242735 25493841.721319, 6672205.28905394 25493825.2076591, 6672203.36979632 25493827.2315636, 6672239.00126334 25493857.5634137, 6672240.49655175 25493855.4739099)), ((6672198.90829145 25493819.6600965, 6672194.58931563 25493815.9050873, 6672191.36188816 25493812.9498098, 6672188.30406379 25493810.1102708, 6672186.22122273 25493808.1768934, 6672184.1968079 25493806.2976903, 6672182.01767127 25493804.2556994, 6672180.28769139 25493802.6217917, 6672178.51466826 25493800.9472424, 6672176.97672536 25493799.4947121, 6672175.58170247 25493798.1337282, 6672173.59155236 25493796.1214112, 6672171.4609294 25493793.9670567, 6672170.052164 25493792.5426, 6672168.01762975 25493790.234466, 6672166.64696904 25493788.6794819, 6672165.43105893 25493787.3000588, 6672163.085446 25493784.639013, 6672161.37253597 25493782.5313618, 6672159.76071445 25493784.1017024, 6672168.5558234 25493793.9680106, 6672174.41922937 25493800.2260688, 6672182.65054928 25493807.2734318, 6672197.98561104 25493821.4809155, 6672198.90829145 25493819.6600965)))"
liikennemerkkipilotti_pysakointipaikat.3642,3642,"16251, 16227, 16263, 16253","521, 855b, Unclassified, 845","Pysäköintipaikka, Maksullinen pysäköinti, Luokittelematon, N/A","no_text, 9-21, no_text, no_text",4,Pitkittäin,5.4,C,,23.79,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672234.756945 25497316.521889, 6672234.86658773 25497318.7014675, 6672258.71700435 25497317.4335805, 6672258.619251 25497315.4360418, 6672234.756945 25497316.521889))"
liikennemerkkipilotti_pysakointipaikat.2668,2668,10736,373,Pysäköintikieltoalue,no_text,,,,,,13.51,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6670512.73577614 25493479.7313185, 6670512.27913334 25493477.3046078, 6670498.76059083 25493480.2409049, 6670498.876399 25493482.770892, 6670512.73577614 25493479.7313185))"
liikennemerkkipilotti_pysakointipaikat.3281,3281,"4140, 14785, 14783, 14751, 14752","Unclassified, 363_30, 372, 855a, Unclassified","Luokittelematon, N/A, Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, no_text, no_text, 9-21, no_text",2,Pitkittäin,5.4,E,,12.5,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673711.971279 25497603.602431, 6673712.07145231 25497605.909202, 6673724.71747419 25497604.4968571, 6673724.53798169 25497602.4597197, 6673711.971279 25497603.602431))"
liikennemerkkipilotti_pysakointipaikat.3744,3744,"9556, 11827, 9561, 9574","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21 (9-18), 60 min, no_text",6,Pitkittäin,5.4,A,,37.14,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672682.909786 25496491.957134, 6672713.9396938 25496470.591572, 6672712.49851728 25496468.498504, 6672681.47170412 25496489.8676933, 6672682.909786 25496491.957134))"
liikennemerkkipilotti_pysakointipaikat.4432,4432,"4709, 4712, 4713","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",3,Pitkittäin,5.4,H,,20.28,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6674454.4788516 25495775.5697985, 6674465.90955215 25495792.6537372, 6674467.95623878 25495791.4022769, 6674456.35486758 25495774.2818068, 6674454.4788516 25495775.5697985))"
