FID,id,tyyppi,nimi,teksti,kiinnitys,kuvaus_pvm,katselusuunta,x,y,z,datanomistaja,paivitetty_tietopalveluun,geom
liikennemerkkipilotti_liikennemerkit.4,4,371,Pysäyttäminen kielletty,,Pole,22.10.2015,0,25496781.836,6671953.29,14.149,Helsinki/MAKA,2018-11-20,POINT (6671953.29 25496781.836)
liikennemerkkipilotti_liikennemerkit.5,5,872,"Tekstillinen lisäkilpi ""Huoltoajo sallittu""","Ei koske City Car Clubin autoja, Gäller ej City Car Clubs bilar",Pole,22.10.2015,0,25496781.811,6671953.261,13.647,Helsinki/MAKA,2018-11-20,POINT (6671953.261 25496781.811)
liikennemerkkipilotti_liikennemerkit.6,6,372,Pysäköinti kielletty,,Other,22.10.2015,264,25496767.584,6671930.496,12.633,Helsinki/MAKA,2018-11-20,POINT (6671930.496 25496767.584)
liikennemerkkipilotti_liikennemerkit.7,7,871,Tekstillinen lisäkilpi,unreadable,Other,22.10.2015,267,25496767.577,6671930.501,12.216,Helsinki/MAKA,2018-11-20,POINT (6671930.501 25496767.577)
liikennemerkkipilotti_liikennemerkit.8,8,331,Kielletty ajosuunta,,Lightpole,22.10.2015,245,25496764.816,6671992.614,13.859,Helsinki/MAKA,2018-11-20,POINT (6671992.614 25496764.816)
liikennemerkkipilotti_liikennemerkit.9,9,871,Tekstillinen lisäkilpi,unreadable,Other,05.10.2015,180,25496937.178,6671810.795,14.617,Helsinki/MAKA,2018-11-20,POINT (6671810.795 25496937.178)
liikennemerkkipilotti_liikennemerkit.10,10,872,"Tekstillinen lisäkilpi ""Huoltoajo sallittu""",,Other,05.10.2015,180,25496937.161,6671810.775,14.388,Helsinki/MAKA,2018-11-20,POINT (6671810.775 25496937.161)
liikennemerkkipilotti_liikennemerkit.11,11,855a,Maksullinen pysäköinti,9-21,Pole,05.10.2015,273,25496916.129,6671822.584,16.213,Helsinki/MAKA,2018-11-20,POINT (6671822.584 25496916.129)
liikennemerkkipilotti_liikennemerkit.12,12,855a,Maksullinen pysäköinti,9-21,Wall,05.10.2015,51,25496712.998,6671941.555,15.432,Helsinki/MAKA,2018-11-20,POINT (6671941.555 25496712.998)
liikennemerkkipilotti_liikennemerkit.13,13,372,Pysäköinti kielletty,,Other,05.10.2015,0,25496852.234,6671820.716,18.031,Helsinki/MAKA,2018-11-20,POINT (6671820.716 25496852.234)
liikennemerkkipilotti_liikennemerkit.14,14,Unclassified,Luokittelematon,,Wall,05.10.2015,51,25496712.997,6671941.555,15.224,Helsinki/MAKA,2018-11-20,POINT (6671941.555 25496712.997)
liikennemerkkipilotti_liikennemerkit.15,15,871,Tekstillinen lisäkilpi,unreadable,Other,05.10.2015,0,25496852.828,6671820.739,18.255,Helsinki/MAKA,2018-11-20,POINT (6671820.739 25496852.828)
liikennemerkkipilotti_liikennemerkit.16,16,372,Pysäköinti kielletty,,Wall,05.10.2015,51,25496702.11,6671933.857,15.748,Helsinki/MAKA,2018-11-20,POINT (6671933.857 25496702.11)
liikennemerkkipilotti_liikennemerkit.17,17,372,Pysäköinti kielletty,,Wall,22.10.2015,144,25496635.095,6671883.933,18.82,Helsinki/MAKA,2018-11-20,POINT (6671883.933 25496635.095)
liikennemerkkipilotti_liikennemerkit.18,18,Unclassified,Luokittelematon,,Wall,05.10.2015,52,25496713.005,6671941.524,15.007,Helsinki/MAKA,2018-11-20,POINT (6671941.524 25496713.005)
liikennemerkkipilotti_liikennemerkit.19,19,521,Pysäköintipaikka,,Wall,05.10.2015,51,25496707.938,6671938.027,16.126,Helsinki/MAKA,2018-11-20,POINT (6671938.027 25496707.938)
liikennemerkkipilotti_liikennemerkit.20,20,836,N/A,,Wall,05.10.2015,48,25496707.941,6671938.007,15.748,Helsinki/MAKA,2018-11-20,POINT (6671938.007 25496707.941)
liikennemerkkipilotti_liikennemerkit.21,21,814,N/A,5 m,Wall,05.10.2015,39,25496707.958,6671938.022,15.566,Helsinki/MAKA,2018-11-20,POINT (6671938.022 25496707.958)
liikennemerkkipilotti_liikennemerkit.22,22,Unclassified,Luokittelematon,,Pole,05.10.2015,158,25497381.461,6672360.289,5.833,Helsinki/MAKA,2018-11-20,POINT (6672360.289 25497381.461)
liikennemerkkipilotti_liikennemerkit.23,23,851,Voimassaoloaika,8-17,Wall,05.10.2015,48,25496702.215,6671933.835,15.345,Helsinki/MAKA,2018-11-20,POINT (6671933.835 25496702.215)
liikennemerkkipilotti_liikennemerkit.24,24,Unclassified,Luokittelematon,,Pole,22.10.2015,159,25496660.434,6671906.747,16.717,Helsinki/MAKA,2018-11-20,POINT (6671906.747 25496660.434)
liikennemerkkipilotti_liikennemerkit.25,25,372,Pysäköinti kielletty,,Pole,22.10.2015,48,25496660.408,6671906.744,17.554,Helsinki/MAKA,2018-11-20,POINT (6671906.744 25496660.408)
liikennemerkkipilotti_liikennemerkit.26,26,855a,Maksullinen pysäköinti,9-21,Pole,22.10.2015,45,25496660.427,6671906.693,17.126,Helsinki/MAKA,2018-11-20,POINT (6671906.693 25496660.427)
liikennemerkkipilotti_liikennemerkit.27,27,Unclassified,Luokittelematon,,Pole,22.10.2015,42,25496660.432,6671906.668,16.929,Helsinki/MAKA,2018-11-20,POINT (6671906.668 25496660.432)
liikennemerkkipilotti_liikennemerkit.28,28,551,Yksisuuntainen tie,,Wall,22.10.2015,157,25496649.619,6671896.824,18.902,Helsinki/MAKA,2018-11-20,POINT (6671896.824 25496649.619)
liikennemerkkipilotti_liikennemerkit.29,29,371,Pysäyttäminen kielletty,,Pole,22.10.2015,95,25496649.545,6671896.847,18.379,Helsinki/MAKA,2018-11-20,POINT (6671896.847 25496649.545)
liikennemerkkipilotti_liikennemerkit.30,30,825,N/A,,Wall,22.10.2015,93,25496649.522,6671896.806,17.771,Helsinki/MAKA,2018-11-20,POINT (6671896.806 25496649.522)
liikennemerkkipilotti_liikennemerkit.31,31,Unclassified,Luokittelematon,,Wall,22.10.2015,321,25496638.056,6671905.033,18.022,Helsinki/MAKA,2018-11-20,POINT (6671905.033 25496638.056)
liikennemerkkipilotti_liikennemerkit.32,32,372,Pysäköinti kielletty,,Wall,06.10.2015,52,25496637.872,6671904.964,18.875,Helsinki/MAKA,2018-11-20,POINT (6671904.964 25496637.872)
liikennemerkkipilotti_liikennemerkit.33,33,Unclassified,Luokittelematon,,Wall,06.10.2015,58,25496637.858,6671904.978,18.261,Helsinki/MAKA,2018-11-20,POINT (6671904.978 25496637.858)
liikennemerkkipilotti_liikennemerkit.34,34,331,Kielletty ajosuunta,,Wall,22.10.2015,351,25496636.808,6671904.941,18.455,Helsinki/MAKA,2018-11-20,POINT (6671904.941 25496636.808)
liikennemerkkipilotti_liikennemerkit.35,35,511,Suojatie,,Pole,05.10.2015,56,25496510.481,6671800.834,13.892,Helsinki/MAKA,2018-11-20,POINT (6671800.834 25496510.481)
liikennemerkkipilotti_liikennemerkit.36,36,372,Pysäköinti kielletty,,Wall,22.10.2015,235,25496503.094,6671810.202,14.95,Helsinki/MAKA,2018-11-20,POINT (6671810.202 25496503.094)
liikennemerkkipilotti_liikennemerkit.37,37,855a,Maksullinen pysäköinti,9-21,Wall,22.10.2015,238,25496503.361,6671810.337,14.489,Helsinki/MAKA,2018-11-20,POINT (6671810.337 25496503.361)
liikennemerkkipilotti_liikennemerkit.38,38,Unclassified,Luokittelematon,,Wall,22.10.2015,242,25496503.13,6671810.243,14.304,Helsinki/MAKA,2018-11-20,POINT (6671810.243 25496503.13)
liikennemerkkipilotti_liikennemerkit.39,39,Unclassified,Luokittelematon,,Wall,22.10.2015,242,25496503.12,6671810.219,14.107,Helsinki/MAKA,2018-11-20,POINT (6671810.219 25496503.12)
liikennemerkkipilotti_liikennemerkit.40,40,511,Suojatie,,Wall,20.10.2015,157,25496195.092,6673374.198,14.244,Helsinki/MAKA,2018-11-20,POINT (6673374.198 25496195.092)
liikennemerkkipilotti_liikennemerkit.41,41,Unclassified,Luokittelematon,,Pole,20.10.2015,333,25496204.007,6673390.849,13.184,Helsinki/MAKA,2018-11-20,POINT (6673390.849 25496204.007)
liikennemerkkipilotti_liikennemerkit.42,42,855a,Maksullinen pysäköinti,9-21,Pole,20.10.2015,333,25496204.068,6673390.962,13.363,Helsinki/MAKA,2018-11-20,POINT (6673390.962 25496204.068)
liikennemerkkipilotti_liikennemerkit.43,43,372,Pysäköinti kielletty,,Pole,20.10.2015,164,25496176.458,6673425.528,13.244,Helsinki/MAKA,2018-11-20,POINT (6673425.528 25496176.458)
